date,amount,category,merchant,description,type,currency,balance
2024-01-25,-2434.7,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-45351.09
2024-01-26,-842.01,Dining Out,Swiggy,Dining Out at Swiggy,debit,INR,-46193.1
2024-01-26,-309.23,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-46502.33
2024-01-27,-2270.82,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-48773.15
2024-01-28,-192.75,Transport,Uber,Transport at Uber,debit,INR,-48965.9
2024-01-30,-180.01,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-49145.91
2024-01-30,-1309.71,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-50455.62
2024-01-30,-287.94,Dining Out,Zomato,Dining Out at Zomato,debit,INR,-50743.560000000005
2024-01-31,-2473.21,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-53216.770000000004
2024-01-31,36000.12,Income,Local Business,Monthly Salary,credit,INR,-17216.65
2024-02-01,70954.52,Income,Local Business,Monthly Salary,credit,INR,53737.87
2024-02-01,-112.07,Transport,HP Petrol,Transport at HP Petrol,debit,INR,53625.8
2024-02-01,-1829.85,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,51795.950000000004
2024-02-02,-492.89,Other,ATM,Other at ATM,debit,INR,51303.060000000005
2024-02-03,-1306.82,Shopping,Medical Store,Shopping at Medical Store,debit,INR,49996.240000000005
2024-02-03,-345.37,Groceries,Spencer's,Groceries at Spencer's,debit,INR,49650.87
2024-02-04,-2210.87,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,47440.0
2024-02-04,-2854.37,Shopping,Medical Store,Shopping at Medical Store,debit,INR,44585.63
2024-02-05,-1712.46,Utilities,Airtel,Utilities at Airtel,debit,INR,42873.17
2024-02-06,-434.99,Shopping,Local Mall,Shopping at Local Mall,debit,INR,42438.18
2024-02-06,-603.8,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,41834.38
2024-02-07,-528.97,Utilities,BWSSB,Utilities at BWSSB,debit,INR,41305.409999999996
2024-02-07,-564.71,Transport,Uber,Transport at Uber,debit,INR,40740.7
2024-02-08,-1583.61,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,39157.09
2024-02-08,-226.38,Transport,Ola,Transport at Ola,debit,INR,38930.71
2024-02-08,-763.53,Other,UPI Transfer,Other at UPI Transfer,debit,INR,38167.18
2024-02-08,-164.35,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,38002.83
2024-02-09,-632.36,Transport,Indian Oil,Transport at Indian Oil,debit,INR,37370.47
2024-02-09,-318.93,Utilities,Airtel,Utilities at Airtel,debit,INR,37051.54
2024-02-10,-527.58,Dining Out,CCD,Dining Out at CCD,debit,INR,36523.96
2024-02-11,-746.53,Dining Out,KFC,Dining Out at KFC,debit,INR,35777.43
2024-02-12,-2710.81,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,33066.62
2024-02-12,-1814.37,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,31252.250000000004
2024-02-13,-997.3,Utilities,Reliance Jio,Utilities at Reliance Jio,debit,INR,30254.950000000004
2024-02-14,-2018.51,Utilities,DTH Recharge,Utilities at DTH Recharge,debit,INR,28236.440000000006
2024-02-15,-640.88,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,27595.560000000005
2024-02-16,-471.48,Other,ATM,Other at ATM,debit,INR,27124.080000000005
2024-02-16,-1416.66,Shopping,Amazon India,Shopping at Amazon India,debit,INR,25707.420000000006
2024-02-17,-1542.1,Other,Online Payment,Other at Online Payment,debit,INR,24165.320000000007
2024-02-18,-254.34,Transport,BMTC,Transport at BMTC,debit,INR,23910.980000000007
2024-02-18,-299.43,Dining Out,Domino's,Dining Out at Domino's,debit,INR,23611.550000000007
2024-02-19,-869.23,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,22742.320000000007
2024-02-20,-2275.95,Groceries,Spencer's,Groceries at Spencer's,debit,INR,20466.370000000006
2024-02-20,-1724.23,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,18742.140000000007
2024-02-21,-315.62,Other,Online Payment,Other at Online Payment,debit,INR,18426.520000000008
2024-02-23,-430.83,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,17995.690000000006
2024-02-24,-1825.28,Other,Online Payment,Other at Online Payment,debit,INR,16170.410000000005
2024-02-25,-516.71,Dining Out,Zomato,Dining Out at Zomato,debit,INR,15653.700000000004
2024-02-25,-786.43,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,14867.270000000004
2024-02-26,-1667.9,Utilities,Reliance Jio,Utilities at Reliance Jio,debit,INR,13199.370000000004
2024-02-27,-1322.46,Other,UPI Transfer,Other at UPI Transfer,debit,INR,11876.910000000003
2024-02-28,-3803.88,Shopping,Amazon India,Shopping at Amazon India,debit,INR,8073.030000000003
2024-02-28,-601.16,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,7471.8700000000035
2024-02-28,-579.79,Dining Out,CCD,Dining Out at CCD,debit,INR,6892.080000000004
2024-02-29,-309.61,Dining Out,Swiggy,Dining Out at Swiggy,debit,INR,6582.470000000004
2024-02-29,-1871.31,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,4711.1600000000035
2024-03-01,37308.73,Income,MNC Corp,Monthly Salary,credit,INR,42019.89000000001
2024-03-01,-1402.44,Other,UPI Transfer,Other at UPI Transfer,debit,INR,40617.450000000004
2024-03-01,-618.13,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,39999.32000000001
2024-03-01,-411.0,Utilities,Gas Agency,Utilities at Gas Agency,debit,INR,39588.32000000001
2024-03-02,-441.5,Healthcare,Apollo Pharmacy,Healthcare at Apollo Pharmacy,debit,INR,39146.82000000001
2024-03-03,-4771.46,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,34375.36000000001
2024-03-03,-781.76,Entertainment,Gym,Entertainment at Gym,debit,INR,33593.600000000006
2024-03-04,-2012.56,Utilities,Gas Agency,Utilities at Gas Agency,debit,INR,31581.040000000005
2024-03-05,-1775.9,Shopping,Local Mall,Shopping at Local Mall,debit,INR,29805.140000000003
2024-03-05,-850.42,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,28954.720000000005
2024-03-05,-1618.36,Utilities,DTH Recharge,Utilities at DTH Recharge,debit,INR,27336.360000000004
2024-03-06,-1992.53,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,25343.830000000005
2024-03-06,-3080.51,Shopping,Medical Store,Shopping at Medical Store,debit,INR,22263.320000000007
2024-03-06,-334.95,Dining Out,Zomato,Dining Out at Zomato,debit,INR,21928.370000000006
2024-03-06,-584.66,Shopping,Flipkart,Shopping at Flipkart,debit,INR,21343.710000000006
2024-03-07,-1367.41,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,19976.300000000007
2024-03-07,-343.46,Transport,Ola,Transport at Ola,debit,INR,19632.840000000007
2024-03-08,-225.88,Dining Out,Swiggy,Dining Out at Swiggy,debit,INR,19406.960000000006
2024-03-08,-499.38,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,18907.580000000005
2024-03-09,-1204.8,Utilities,DTH Recharge,Utilities at DTH Recharge,debit,INR,17702.780000000006
2024-03-09,-1447.92,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,16254.860000000006
2024-03-10,-709.93,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,15544.930000000006
2024-03-13,-2422.35,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,13122.580000000005
2024-03-14,-551.33,Groceries,DMart,Groceries at DMart,debit,INR,12571.250000000005
2024-03-14,-552.46,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,12018.790000000005
2024-03-14,-432.06,Transport,Auto Rickshaw,Transport at Auto Rickshaw,debit,INR,11586.730000000005
2024-03-15,-48.81,Transport,HP Petrol,Transport at HP Petrol,debit,INR,11537.920000000006
2024-03-15,-1153.13,Utilities,DTH Recharge,Utilities at DTH Recharge,debit,INR,10384.790000000005
2024-03-16,-866.11,Healthcare,Medical Tests,Healthcare at Medical Tests,debit,INR,9518.680000000004
2024-03-16,-308.59,Shopping,Flipkart,Shopping at Flipkart,debit,INR,9210.090000000004
2024-03-16,-651.62,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,8558.470000000003
2024-03-16,-4743.96,Shopping,Flipkart,Shopping at Flipkart,debit,INR,3814.510000000003
2024-03-17,-395.78,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,3418.730000000003
2024-03-18,-685.33,Entertainment,Gym,Entertainment at Gym,debit,INR,2733.4000000000033
2024-03-18,-694.4,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,2039.0000000000032
2024-03-19,-2158.85,Shopping,Myntra,Shopping at Myntra,debit,INR,-119.84999999999673
2024-03-19,-718.54,Other,Online Payment,Other at Online Payment,debit,INR,-838.3899999999967
2024-03-20,-863.73,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-1702.1199999999967
2024-03-21,-1231.83,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-2933.9499999999966
2024-03-21,-545.44,Transport,Uber,Transport at Uber,debit,INR,-3479.3899999999967
2024-03-21,-928.07,Entertainment,Gym,Entertainment at Gym,debit,INR,-4407.459999999996
2024-03-22,-376.95,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-4784.409999999996
2024-03-22,-235.26,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-5019.669999999996
2024-03-23,-522.4,Transport,BMTC,Transport at BMTC,debit,INR,-5542.069999999996
2024-03-23,-1246.79,Other,Miscellaneous,Other at Miscellaneous,debit,INR,-6788.859999999996
2024-03-23,-554.56,Entertainment,Gym,Entertainment at Gym,debit,INR,-7343.419999999996
2024-03-25,-274.89,Healthcare,Apollo Pharmacy,Healthcare at Apollo Pharmacy,debit,INR,-7618.309999999997
2024-03-26,-837.77,Transport,BMTC,Transport at BMTC,debit,INR,-8456.079999999996
2024-03-26,-948.83,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-9404.909999999996
2024-03-27,-159.03,Dining Out,KFC,Dining Out at KFC,debit,INR,-9563.939999999997
2024-03-27,-1930.05,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-11493.989999999996
2024-03-27,-1034.99,Utilities,Airtel,Utilities at Airtel,debit,INR,-12528.979999999996
2024-03-28,-1675.81,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-14204.789999999995
2024-03-28,-1002.5,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,-15207.289999999995
2024-03-28,-2321.41,Shopping,Amazon India,Shopping at Amazon India,debit,INR,-17528.699999999997
2024-03-28,-379.41,Dining Out,KFC,Dining Out at KFC,debit,INR,-17908.109999999997
2024-03-29,-656.61,Dining Out,KFC,Dining Out at KFC,debit,INR,-18564.719999999998
2024-03-29,-976.68,Utilities,Airtel,Utilities at Airtel,debit,INR,-19541.399999999998
2024-03-30,-1422.13,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-20963.53
2024-03-30,-431.31,Transport,BMTC,Transport at BMTC,debit,INR,-21394.84
2024-03-30,-838.19,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-22233.03
2024-03-31,-1763.37,Shopping,Flipkart,Shopping at Flipkart,debit,INR,-23996.399999999998
2024-03-31,-657.57,Groceries,DMart,Groceries at DMart,debit,INR,-24653.969999999998
2024-03-31,-716.58,Dining Out,CCD,Dining Out at CCD,debit,INR,-25370.55
2024-03-31,-1232.34,Groceries,DMart,Groceries at DMart,debit,INR,-26602.89
2024-04-01,31603.78,Income,Tech Company,Monthly Salary,credit,INR,5000.889999999999
2024-04-01,-350.2,Entertainment,BookMyShow,Entertainment at BookMyShow,debit,INR,4650.69
2024-04-01,-1293.2,Other,UPI Transfer,Other at UPI Transfer,debit,INR,3357.49
2024-04-02,-1405.08,Other,Online Payment,Other at Online Payment,debit,INR,1952.4099999999999
2024-04-02,-2260.91,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-308.5
2024-04-02,-460.92,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,-769.4200000000001
2024-04-03,-490.84,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-1260.26
2024-04-03,-127.35,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-1387.61
2024-04-03,-851.42,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-2239.0299999999997
2024-04-04,-667.89,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-2906.9199999999996
2024-04-05,-74.42,Transport,Ola,Transport at Ola,debit,INR,-2981.3399999999997
2024-04-05,-232.17,Transport,BMTC,Transport at BMTC,debit,INR,-3213.5099999999998
2024-04-06,-5055.72,Shopping,Myntra,Shopping at Myntra,debit,INR,-8269.23
2024-04-07,-248.1,Healthcare,Medical Tests,Healthcare at Medical Tests,debit,INR,-8517.33
2024-04-08,-1905.16,Groceries,DMart,Groceries at DMart,debit,INR,-10422.49
2024-04-08,-517.66,Shopping,Myntra,Shopping at Myntra,debit,INR,-10940.15
2024-04-09,-220.5,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-11160.65
2024-04-11,-1351.0,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-12511.65
2024-04-11,-646.31,Dining Out,KFC,Dining Out at KFC,debit,INR,-13157.96
2024-04-12,-1097.05,Utilities,BESCOM,Utilities at BESCOM,debit,INR,-14255.009999999998
2024-04-12,-196.4,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-14451.409999999998
2024-04-12,-1349.94,Other,Online Payment,Other at Online Payment,debit,INR,-15801.349999999999
2024-04-13,-294.92,Dining Out,Zomato,Dining Out at Zomato,debit,INR,-16096.269999999999
2024-04-14,-577.83,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-16674.1
2024-04-14,-385.59,Entertainment,BookMyShow,Entertainment at BookMyShow,debit,INR,-17059.69
2024-04-15,-1226.71,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-18286.399999999998
2024-04-16,-833.47,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-19119.87
2024-04-16,-666.43,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-19786.3
2024-04-17,-434.21,Dining Out,KFC,Dining Out at KFC,debit,INR,-20220.51
2024-04-18,-2644.3,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-22864.809999999998
2024-04-19,-1126.87,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-23991.679999999997
2024-04-19,-456.25,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,-24447.929999999997
2024-04-20,-164.53,Transport,Ola,Transport at Ola,debit,INR,-24612.459999999995
2024-04-21,-628.24,Dining Out,CCD,Dining Out at CCD,debit,INR,-25240.699999999997
2024-04-22,-1019.08,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-26259.78
2024-04-23,-4555.38,Shopping,Amazon India,Shopping at Amazon India,debit,INR,-30815.16
2024-04-24,-466.46,Healthcare,Hospital,Healthcare at Hospital,debit,INR,-31281.62
2024-04-25,-274.18,Transport,Auto Rickshaw,Transport at Auto Rickshaw,debit,INR,-31555.8
2024-04-26,-276.81,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-31832.61
2024-04-27,-232.77,Dining Out,KFC,Dining Out at KFC,debit,INR,-32065.38
2024-04-28,-716.23,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,-32781.61
2024-04-29,-447.46,Dining Out,KFC,Dining Out at KFC,debit,INR,-33229.07
2024-04-29,-4040.13,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-37269.2
2024-04-30,-1028.22,Utilities,Gas Agency,Utilities at Gas Agency,debit,INR,-38297.42
2024-04-30,-2694.33,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-40991.75
2024-05-01,77332.29,Income,Tech Company,Monthly Salary,credit,INR,36340.53999999999
2024-05-01,-704.15,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,35636.38999999999
2024-05-02,-5104.51,Shopping,Amazon India,Shopping at Amazon India,debit,INR,30531.87999999999
2024-05-02,-1080.49,Other,UPI Transfer,Other at UPI Transfer,debit,INR,29451.38999999999
2024-05-02,-243.1,Transport,Indian Oil,Transport at Indian Oil,debit,INR,29208.28999999999
2024-05-02,-1398.07,Shopping,Myntra,Shopping at Myntra,debit,INR,27810.21999999999
2024-05-03,-1661.69,Groceries,DMart,Groceries at DMart,debit,INR,26148.52999999999
2024-05-04,-316.25,Other,Online Payment,Other at Online Payment,debit,INR,25832.27999999999
2024-05-04,-306.03,Entertainment,Hotstar,Entertainment at Hotstar,debit,INR,25526.249999999993
2024-05-04,-462.76,Other,Miscellaneous,Other at Miscellaneous,debit,INR,25063.489999999994
2024-05-05,-1552.0,Groceries,Spencer's,Groceries at Spencer's,debit,INR,23511.489999999994
2024-05-06,-619.18,Shopping,Amazon India,Shopping at Amazon India,debit,INR,22892.309999999994
2024-05-06,-556.65,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,22335.659999999993
2024-05-06,-706.63,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,21629.02999999999
2024-05-07,-185.28,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,21443.749999999993
2024-05-08,-240.92,Healthcare,Doctor Visit,Healthcare at Doctor Visit,debit,INR,21202.829999999994
2024-05-09,-1754.53,Groceries,Spencer's,Groceries at Spencer's,debit,INR,19448.299999999996
2024-05-09,-769.55,Utilities,BESCOM,Utilities at BESCOM,debit,INR,18678.749999999996
2024-05-09,-85.45,Dining Out,CCD,Dining Out at CCD,debit,INR,18593.299999999996
2024-05-10,-399.94,Utilities,Gas Agency,Utilities at Gas Agency,debit,INR,18193.359999999997
2024-05-10,-456.65,Transport,Uber,Transport at Uber,debit,INR,17736.709999999995
2024-05-11,-222.67,Groceries,DMart,Groceries at DMart,debit,INR,17514.039999999997
2024-05-11,-2439.05,Shopping,Local Mall,Shopping at Local Mall,debit,INR,15074.989999999998
2024-05-12,-1265.79,Utilities,BESCOM,Utilities at BESCOM,debit,INR,13809.199999999997
2024-05-12,-822.44,Transport,Uber,Transport at Uber,debit,INR,12986.759999999997
2024-05-12,-1631.4,Healthcare,Hospital,Healthcare at Hospital,debit,INR,11355.359999999997
2024-05-13,-2571.14,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,8784.219999999998
2024-05-13,-457.46,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,8326.759999999998
2024-05-14,-1432.13,Shopping,Local Mall,Shopping at Local Mall,debit,INR,6894.629999999998
2024-05-14,-1043.76,Groceries,DMart,Groceries at DMart,debit,INR,5850.869999999998
2024-05-14,-3134.4,Shopping,Local Mall,Shopping at Local Mall,debit,INR,2716.469999999998
2024-05-14,-756.2,Entertainment,BookMyShow,Entertainment at BookMyShow,debit,INR,1960.269999999998
2024-05-15,-148.68,Dining Out,Domino's,Dining Out at Domino's,debit,INR,1811.5899999999979
2024-05-15,-658.55,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,1153.039999999998
2024-05-16,-470.07,Groceries,Spencer's,Groceries at Spencer's,debit,INR,682.969999999998
2024-05-17,-747.42,Entertainment,Gym,Entertainment at Gym,debit,INR,-64.45000000000198
2024-05-18,-433.97,Entertainment,Gym,Entertainment at Gym,debit,INR,-498.420000000002
2024-05-18,-1253.38,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-1751.800000000002
2024-05-19,-714.53,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,-2466.3300000000017
2024-05-20,-339.17,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-2805.500000000002
2024-05-20,-485.38,Utilities,Reliance Jio,Utilities at Reliance Jio,debit,INR,-3290.880000000002
2024-05-20,-1074.37,Shopping,Amazon India,Shopping at Amazon India,debit,INR,-4365.250000000002
2024-05-21,-606.5,Entertainment,Gym,Entertainment at Gym,debit,INR,-4971.750000000002
2024-05-21,-625.68,Dining Out,Zomato,Dining Out at Zomato,debit,INR,-5597.430000000002
2024-05-22,-1275.87,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-6873.300000000002
2024-05-23,-544.73,Other,Miscellaneous,Other at Miscellaneous,debit,INR,-7418.0300000000025
2024-05-23,-979.86,Groceries,DMart,Groceries at DMart,debit,INR,-8397.890000000003
2024-05-23,-1522.69,Other,ATM,Other at ATM,debit,INR,-9920.580000000004
2024-05-23,-1066.45,Groceries,DMart,Groceries at DMart,debit,INR,-10987.030000000004
2024-05-24,-562.28,Utilities,BESCOM,Utilities at BESCOM,debit,INR,-11549.310000000005
2024-05-24,-835.61,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-12384.920000000006
2024-05-26,-402.6,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-12787.520000000006
2024-05-26,-577.43,Dining Out,Swiggy,Dining Out at Swiggy,debit,INR,-13364.950000000006
2024-05-27,-665.5,Dining Out,Domino's,Dining Out at Domino's,debit,INR,-14030.450000000006
2024-05-28,-534.2,Transport,Ola,Transport at Ola,debit,INR,-14564.650000000007
2024-05-28,-106.78,Transport,BMTC,Transport at BMTC,debit,INR,-14671.430000000008
2024-05-29,-390.09,Transport,HP Petrol,Transport at HP Petrol,debit,INR,-15061.520000000008
2024-05-30,-2960.89,Shopping,Myntra,Shopping at Myntra,debit,INR,-18022.410000000007
2024-05-30,-722.96,Healthcare,Medical Tests,Healthcare at Medical Tests,debit,INR,-18745.370000000006
2024-05-30,-234.64,Transport,Uber,Transport at Uber,debit,INR,-18980.010000000006
2024-05-31,-480.9,Transport,HP Petrol,Transport at HP Petrol,debit,INR,-19460.910000000007
2024-05-31,-751.93,Utilities,Reliance Jio,Utilities at Reliance Jio,debit,INR,-20212.840000000007
2024-05-31,-589.37,Dining Out,Local Restaurant,Dining Out at Local Restaurant,debit,INR,-20802.210000000006
2024-06-01,-1547.46,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-22349.670000000006
2024-06-02,-20.64,Transport,Auto Rickshaw,Transport at Auto Rickshaw,debit,INR,-22370.310000000005
2024-06-02,-336.14,Transport,Uber,Transport at Uber,debit,INR,-22706.450000000004
2024-06-02,-105.65,Transport,BMTC,Transport at BMTC,debit,INR,-22812.100000000006
2024-06-02,-753.94,Transport,HP Petrol,Transport at HP Petrol,debit,INR,-23566.040000000005
2024-06-03,-796.6,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-24362.640000000003
2024-06-03,-1117.68,Entertainment,PVR Cinemas,Entertainment at PVR Cinemas,debit,INR,-25480.320000000003
2024-06-04,-216.14,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-25696.460000000003
2024-06-04,-307.37,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-26003.83
2024-06-05,-1224.85,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-27228.68
2024-06-05,-2583.29,Shopping,Flipkart,Shopping at Flipkart,debit,INR,-29811.97
2024-06-06,-1891.22,Groceries,DMart,Groceries at DMart,debit,INR,-31703.190000000002
2024-06-07,-1686.79,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-33389.98
2024-06-07,-769.16,Healthcare,Doctor Visit,Healthcare at Doctor Visit,debit,INR,-34159.14000000001
2024-06-08,-962.21,Healthcare,Apollo Pharmacy,Healthcare at Apollo Pharmacy,debit,INR,-35121.350000000006
2024-06-08,-178.71,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-35300.060000000005
2024-06-09,-1161.24,Healthcare,Doctor Visit,Healthcare at Doctor Visit,debit,INR,-36461.3
2024-06-09,-696.25,Transport,HP Petrol,Transport at HP Petrol,debit,INR,-37157.55
2024-06-10,-2370.33,Shopping,Flipkart,Shopping at Flipkart,debit,INR,-39527.880000000005
